m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
498,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Moldova,2021,20.05012531,%,E,false
498,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Republic of Moldova,2022,20.05012531,%,E,false
642,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Romania,2019,16.53081653,%,E,false
642,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Romania,2020,14.57544619,%,E,false
642,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Romania,2021,16.14954222,%,E,false
642,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Romania,2022,15.40915225,%,E,false
643,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Russian Federation,2019,26.45788337,%,I,false
643,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Russian Federation,2020,26.45788337,%,I,false
643,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Russian Federation,2021,26.45788337,%,I,false
643,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Russian Federation,2022,26.45788337,%,I,false
688,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Serbia,2019,11.8926423,%,E,false
688,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Serbia,2020,13.28271346,%,E,false
688,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Serbia,2021,14.22124406,%,E,false
688,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Serbia,2022,13.78903948,%,E,false
703,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovakia,2019,52.32724669,%,E,false
703,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovakia,2020,52.81081081,%,E,false
703,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovakia,2021,52.72194635,%,E,false
703,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovakia,2022,54.32881332,%,E,false
705,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovenia,2019,18.00847458,%,E,false
705,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovenia,2020,16.93227092,%,E,false
705,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovenia,2021,18.58216971,%,E,false
705,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Slovenia,2022,21.64449819,%,E,false
724,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Spain,2019,15.50257578,%,E,false
724,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Spain,2020,15.71330117,%,E,false
724,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Spain,2021,15.71330117,%,I,false
724,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Spain,2022,15.71330117,%,I,false
729,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sudan,2019,3.527009467,%,I,false
729,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Sudan,2020,3.527009467,%,I,false
